url,top_3_mcs,trafic,mcs,total_top_3,total_top_10,total_top_50,der._vue_serp
"https://www.infoweb-manutention.fr/levage/levage-ponts-roulants-potences/","pont de manutention","1","1","0","0","0","2025-12-05"
"https://www.infoweb-manutention.fr/produit/treuil-a-cable-electrique-250-500-kg/","treuil élévateur","1","1","0","0","0","2026-01-01"
"https://www.infoweb-manutention.fr/produit/treuil-electrique-pa1200-palan-220-v-telecommande-avec-un-cable-de-15-m/","commande palan electrique","1","1","0","0","0","2025-12-27"
"https://www.infoweb-manutention.fr/diable-chariot/meilleurs-diables-pliants-pour-vos-besoins/","meilleur diable monte escalier,potencette","1","2","0","0","1","2026-05-03"
"https://www.infoweb-manutention.fr/rayonnage/les-5-avantages-du-rayonnage-industriel-pour-votre-entrepot/","les inconvénients du stockage dynamique,stockage dynamique avantage","1","2","0","0","1","2026-04-22"
"https://www.infoweb-manutention.fr/securite/quelle-chaussure-de-securite-pour-cariste/","chaussure de sécurité manutention,chaussure de securite cariste","1","2","0","1","1","2025-12-25"
"https://www.infoweb-manutention.fr/transpalette/prix-des-transpalettes-guide-des-tarifs-complet/","transpalette électrique pas cher,transpalette occasion pas cher,transpalette electrique pas cher","1","5","0","0","1","2026-01-28"
"https://www.infoweb-manutention.fr/categorie/palan-treuils/","palan ancien","1","1","0","0","0","2025-12-24"
"https://www.infoweb-manutention.fr/table-elevatrice/pont-roulant-a-double-poutre-la-solution-robuste-pour-les-charges-lourdes/","poutre de roulement pont roulant,chariot poutre roulante","1","2","0","0","0","2026-02-08"
"https://www.infoweb-manutention.fr/transpalette/5-astuces-pour-trouver-un-transpalette-pas-cher/","transpalette prix pas cher","1","1","0","0","0","2025-12-23"
"https://www.infoweb-manutention.fr/transpalette/ou-acheter-un-transpalette-guide-des-4-meilleurs-fournisseurs/","ou acheter un transpalette","1","1","0","0","0","2026-01-02"
"https://www.infoweb-manutention.fr/chariot-elevateur/principales-caracteristiques-et-avantages-de-la-technologie-des-batteries-lithium-ion/","batterie engin manutention","1","1","0","0","0","2025-12-26"
"https://www.infoweb-manutention.fr/produit/elevateur-magnetique-a-aimant-en-acier-capacite-poids-300-kg/","quel poid peut soulever un aimant","1","1","0","0","0","2026-02-06"
"https://www.infoweb-manutention.fr/produit/aimant-de-levage-magnetique-capacite-de-levage-de-1500-kg/","quel poid peut soulever un aimant","1","1","0","0","1","2026-02-06"
"https://www.infoweb-manutention.fr/table-elevatrice/","maintenance table élévatrice,maintenance table elevatrice","1","2","0","0","2","2026-01-25"
"https://www.infoweb-manutention.fr/chariot-elevateur/quel-est-le-meilleur-chariot-elevateur/","meilleur chariot élévateur","1","1","0","0","0","2026-01-24"
"https://www.infoweb-manutention.fr/stockage/rack-de-stockage-solutions-materiels-industriels/","mdr etagere","1","1","0","0","1","2025-10-16"
"https://www.infoweb-manutention.fr/produit/chariot-elevateur-a-gaz-25t/","chariot gaz intérieur","1","1","0","0","0","2026-05-06"
"https://www.infoweb-manutention.fr/produit/aimant-de-levage-400-kg/","quel poid peut soulever un aimant","1","1","0","0","1","2026-02-06"
"https://www.infoweb-manutention.fr/table-elevatrice/comparatif-tables-elevatrices/","table élévatrice légère,potencette","1","2","0","0","1","2026-01-28"
"https://www.infoweb-manutention.fr/produit/mat-retractable-2-000-kg-a-2500-kg/","chariot rétractable mitsubishi","1","1","0","0","0","2025-12-25"
"https://www.infoweb-manutention.fr/treuil-palonnier/levolution-des-ponts-roulants-industriels-innovations-technologiques-et-performance/","potencette","1","1","0","0","0","2026-01-28"
"https://www.infoweb-manutention.fr/rayonnage/roll-picking-preparation-facilitee/","chariot picking d'entrepôt","1","1","0","0","1","2026-03-31"
"https://www.infoweb-manutention.fr/rayonnage/roll-de-manutention-transport-simplifie/","location roll de manutention","1","1","0","0","0","2025-12-17"
"https://www.infoweb-manutention.fr/nacelle/location-camion-nacelle-rentforce/","location camion nacelle rentforce.com","1","1","0","0","1","2025-10-07"
"https://www.infoweb-manutention.fr/entreprise/maintenance-industrielle-a-angers-un-levier-pour-la-performance-des-entreprises/","maintenance gerbeur angers","1","1","0","0","1","2026-01-03"
"https://www.infoweb-manutention.fr/securite/atelier-au-chantier-equipements-pour-la-performance-et-la-securite/","potencette","1","1","0","0","0","2026-01-28"
"https://www.infoweb-manutention.fr/transpalette/comment-financer-lachat-dun-transpalette-professionnel/","comparaison leasing achat entreprise","1","1","0","0","0","2026-01-21"
"https://www.infoweb-manutention.fr/produit/chariot-elevateur-electrique-5t/","chariot élévateur électrique 5t","1","1","0","0","1","2026-01-24"
