mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"cordonnier multiservices","https://www.aveclindustrie.fr/metier/cordonnier-multiservices/","37","4","720","720","528","0.56","0.06","0.7333","23","2026-06-27","true","false","false","false","true","false","",""
"chaudronnier","https://www.aveclindustrie.fr/metier/chaudronnier/","32","14","5800","27100","105000","1.14","0.03","18.1034","27","2026-07-03","true","false","false","false","false","false","",""
"castings m6","https://accueil.aveclindustrie.fr/actualites/casting-m6-fais-briller-ton-talent-dans-lindustrie/","28","5","720","720","","0.37","0.01","","1","2026-06-17","","","","","","","",""
"secteur de l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","28","2","267","320","5450","","","20.412","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"l'industrielle","https://www.aveclindustrie.fr/decouvrez-lindustrie/","27","4","536","480","2580","","0","4.8134","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"activité industrielle","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","27","2","260","260","3990","","0","15.3462","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"secteur industriel définition","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","22","1","110","110","","","","","24","2026-06-12","true","false","false","false","false","false","",""
"domaines industriels","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","22","1","110","110","","","","","24","2026-06-10","true","false","false","false","false","false","",""
"type d'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","18","2","170","170","","","","","9","2026-06-15","true","false","false","false","false","false","",""
"types industries","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","18","1","90","90","","","","","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"secteur d'activité industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","18","1","90","90","","","","","34","OLDER_THAN_2_MONTHS","","","","","","","",""
"site industriel","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","18","8","800","720","14700","3.17","0.01","18.375","22","2026-06-27","true","false","false","false","false","false","",""
"metier de l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","15","8","667","1000","8","0.88","0.09","0.012","33","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie exemple","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","14","1","70","70","","","","","29","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"domaine de l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","14","1","70","70","","","0","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"listes des industries","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","13","1","64","70","","","0.01","","15","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"pdf exemple","https://www.aveclindustrie.fr/wp-content/uploads/2024/07/exemple-pedf.pdf","13","5","320","320","167","","0","0.5219","14","2026-05-31","","","","","","","",""
"types d'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","12","3","170","170","","","","","9","2026-06-14","true","false","false","false","false","false","",""
"filières industrielles","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","12","2","110","110","","","0.0193","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"exemple pdf","https://www.aveclindustrie.fr/wp-content/uploads/2024/07/exemple-pedf.pdf","11","4","210","210","47300","","0","225.2381","14","2026-05-30","","","","","","","",""
"les industries","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","11","2","100","110","","","0.01","","12","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"industrie métallurgie","https://www.aveclindustrie.fr/branche/metallurgie/","10","7","390","390","2120","","","5.4359","16","2026-06-05","true","false","false","false","false","false","",""
"industrie métallurgique","https://www.aveclindustrie.fr/branche/metallurgie/","10","7","390","390","6460","","0.01","16.5641","17","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"secteurs industriels","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","10","1","50","50","1450","","0","29","23","2026-07-09","true","false","false","false","false","false","",""
"secteur industriel exemple","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","10","1","50","50","","","0","","26","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"industrie production","https://aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","10","1","50","50","","","0","","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie environnementale","https://www.aveclindustrie.fr/decouvrez-lindustrie/","10","1","50","50","","","0.0591","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"actualité industrielle","https://www.aveclindustrie.fr/actualites/","10","3","140","140","","2.08","0.08","","23","2026-06-15","true","false","false","false","false","false","",""
"actualités industrielles","https://admin.aveclindustrie.fr/actualites/","10","3","140","140","","","0.01","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"my future","https://www.aveclindustrie.fr/actualites/%F0%9D%97%A0%F0%9D%97%AC-%F0%9D%97%99%F0%9D%97%A8%F0%9D%97%A7%F0%9D%97%A8%F0%9D%97%A5%F0%9D%97%98-%F0%9D%97%94%F0%9D%98%83%F0%9D%97%B2%F0%9D%97%B0-%F0%9D%97%B9%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B1/","10","13","1455","1600","34100","1.7","0.01","23.4364","26","2026-07-06","","","","","","","",""
"les metiers de l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","9","4","175","260","","0.77","0.11","","23","2026-06-14","true","false","false","false","false","false","",""
"industrie definition","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","9","12","1182","1300","","","","","40","2026-06-29","true","false","false","false","false","false","",""
"ac industrie","https://www.aveclindustrie.fr/","9","7","320","320","","2.49","0.01","","5","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"domaine industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","8","1","40","40","","","0","","17","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"activité industrielle exemple","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","8","2","70","70","","","0","","17","2026-07-27","true","false","false","false","false","false","",""
"type industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","8","2","70","70","","","0.0063","","13","OLDER_THAN_2_MONTHS","","","","","","","",""
"avec l","https://www.aveclindustrie.fr/","8","2","70","70","","","0","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"conducteur d'équipements industriels","https://www.aveclindustrie.fr/metier/conducteur-equipements-industriels/","8","4","140","140","","","0.01","","14","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"conducteur d'équipement industriel","https://www.aveclindustrie.fr/metier/conducteur-equipements-industriels/","7","6","210","210","","0.18","0.01","","14","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"activités industrielles","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","7","3","90","90","","","0","","26","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"metier industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","6","9","320","590","498","1.06","0.06","1.5562","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"les differents types d industries","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","6","1","30","30","65","","0","2.1667","15","OLDER_THAN_2_MONTHS","","","","","","","",""
"liste industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","6","1","30","30","","0.1465","0.0595","","13","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"les différentes industries","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","6","1","30","30","","","0","","11","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"secteur d'activité industriel","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","6","1","30","30","","","0","","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"le secteur industriel","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","6","1","30","30","","","0","","34","OLDER_THAN_2_MONTHS","","","","","","","",""
"actu industrie","https://www.aveclindustrie.fr/actualites/","6","4","110","110","","","0","","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"secteurs de l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","6","1","27","320","","","","","35","OLDER_THAN_2_MONTHS","","","","","","","",""
"actualité industrie","https://www.aveclindustrie.fr/actualites/","6","4","100","110","","","0","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"stratifieur","https://www.aveclindustrie.fr/metier/stratifieur/","5","14","880","880","6200","0.18","","7.0455","31","2026-06-18","true","false","false","false","false","false","",""
"different secteur","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","5","8","210","210","","","","","26","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"industriel def","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","5","11","480","480","","","","","40","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"semaine de l'industrie 2025","https://www.aveclindustrie.fr/decryptage/la-semaine-de-lindustrie/","5","11","480","480","","","","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"lustreur métier","https://www.aveclindustrie.fr/metier/polisseur/","5","5","110","110","","","","","5","2026-06-09","true","false","false","false","false","false","",""
"fichier pdf exemple","https://www.aveclindustrie.fr/wp-content/uploads/2024/07/exemple-pedf.pdf","5","5","110","110","","1.38","0.01","","8","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie fr","https://aveclindustrie.fr/","5","2","40","40","","0.9826","0.0371","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"industries recrute","https://www.aveclindustrie.fr/actualites/lindustrie-recrute-fr/","4","9","218","2400","6800","0.66","0.22","31.1927","23","2026-07-05","true","false","false","false","false","false","",""
"industriales","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","14","720","720","121","","0","0.1681","1","2026-06-17","true","false","false","false","false","false","",""
"different industries","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","1","20","20","","","0","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"les secteurs de l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","1","20","20","","","0.0286","","34","OLDER_THAN_2_MONTHS","","","","","","","",""
"pdf example","https://www.aveclindustrie.fr/wp-content/uploads/2024/07/exemple-pedf.pdf","4","9","210","210","255000","","0","1214.2857","4","2026-06-09","","","","","","","pdf sample",""
"pdf examples","https://www.aveclindustrie.fr/wp-content/uploads/2024/07/exemple-pedf.pdf","4","9","210","210","174000","","0","828.5714","4","2026-06-04","true","false","false","false","false","false","",""
"verre mécanique","https://www.aveclindustrie.fr/branche/fabrication-mecanique-du-verre/","4","5","90","90","","","0.33","","10","2026-06-23","true","false","false","false","false","false","",""
"les industriels","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","5","90","90","","","0","","5","OLDER_THAN_2_MONTHS","","","","","","","",""
"les différents secteur d'activité","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","15","720","720","12300","","","17.0833","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"entreprise industrielle","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","17","900","2900","26000","1.29","0.01","28.8889","24","2026-06-30","","","","","","","",""
"salon formathèque nantes","https://admin.aveclindustrie.fr/actualites/retour-sur-le-salon-formatheque-a-nantes/","4","3","50","50","","","0","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"avenir industrie","https://www.aveclindustrie.fr/","4","3","50","50","","","0","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"entreprise industrielle exemple","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","6","110","110","","","","","23","2026-06-15","true","false","false","false","false","false","",""
"metier dans l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","4","6","110","110","","2","0.04","","28","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"industrie définition","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","4","63","880","1470","","","23.3333","23","2026-06-24","true","false","false","false","false","false","",""
"mécanicien mouliste","https://www.aveclindustrie.fr/metier/mecanicien-mouliste-ajusteur/","4","2","30","30","","","0.1286","","30","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"exemple d industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","2","30","30","","","0","","13","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"exemple d'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","4","2","30","30","","","0","","28","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"devenir cordonnier","https://www.aveclindustrie.fr/metier/cordonnier-multiservices/","4","8","140","140","","0.38","0.03","","26","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"salon des metiers","https://www.aveclindustrie.fr/evenements-salons/","3","12","390","390","6730","2.2742","0.0569","17.2564","9","2026-06-10","true","false","false","false","false","false","",""
"industrie des possibles","https://accueil.aveclindustrie.fr/","3","6","90","90","","","0","","18","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"ingénieur industriel","https://accueil.aveclindustrie.fr/metier/ingenieur-de-production/","3","17","720","720","15700","1.2","0.05","21.8056","31","2026-06-25","true","false","false","false","false","false","",""
"industrie metier","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","3","5","70","70","","2","0.06","","36","OLDER_THAN_2_MONTHS","","","","","","","",""
"usine industrielle","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","3","14","480","480","15500","3.25","0.01","32.2917","14","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"salon de l industrie","https://www.aveclindustrie.fr/evenements-salons/","3","14","480","480","","0.44","0.02","","9","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"metier de l industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","3","5","67","1000","72","0.78","0.14","1.0746","23","2026-06-16","true","false","false","false","false","false","",""
"différent secteur d'activité","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","3","20","880","880","2","","","0.0023","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"opérateur métier","https://www.aveclindustrie.fr/metier/operateur-de-production/","3","8","110","110","","","0","","23","2026-06-14","true","false","false","false","false","false","",""
"les differents secteurs","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","3","6","70","70","","","","","29","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"industrie du recyclage","https://www.aveclindustrie.fr/branche/industrie-du-recyclage/","3","2","20","20","21400","","0.0357","1070","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"m6 et vous casting","https://aveclindustrie.fr/actualites/casting-m6-fais-briller-ton-talent-dans-lindustrie/","3","2","20","20","","","0.0186","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"piqueur en maroquinerie","https://www.aveclindustrie.fr/metier/piqueur-en-maroquinerie/","3","9","110","110","","","0.03","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"définition activité industrielle","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","3","4","40","40","","","0","","4","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nrj summer","https://www.aveclindustrie.fr/actualites/nrj-summer-tour-laventure-se-termine-a-ouistreham-le-14-aout/","3","4","40","40","","","0","","15","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"def industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","19","629","880","383","","","0.6089","7","2026-07-02","true","false","false","false","false","false","",""
"travailler dans l'industrie","https://www.aveclindustrie.fr/trouver-sa-voie/","2","9","108","140","","1.08","0.09","","34","OLDER_THAN_2_MONTHS","","","","","","","",""
"secteur industriel en france","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","5","50","50","","","0.01","","29","OLDER_THAN_2_MONTHS","","","","","","","",""
"alternance industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/decouvrez-lalternance-dans-lindustrie/","2","8","90","90","","1.14","0.55","","26","2026-07-27","true","false","false","false","false","false","",""
"formathèque","https://www.aveclindustrie.fr/actualites/retour-sur-le-salon-formatheque-a-nantes/","2","8","90","90","","","0","","14","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"technicien de maintenance des systèmes énergétiques et climatiques","https://aveclindustrie.fr/metier/technicien-de-maintenance-des-systemes-energetiques/","2","8","90","90","","5.59","0.08","","16","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"fiche métier opérateur de production","https://www.aveclindustrie.fr/metier/operateur-de-production/","2","12","260","260","","0.87","0.08","","27","2026-06-15","true","false","false","false","false","false","",""
"maintenance energetique","https://www.aveclindustrie.fr/metier/technicien-de-maintenance-des-systemes-energetiques/","2","11","210","210","","2.81","0.03","","16","2026-05-30","true","false","false","false","true","false","",""
"siane toulouse","https://www.aveclindustrie.fr/actualites/retour-sur-le-salon-siane-a-toulouse/","2","17","480","480","378","","0","0.7875","19","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"formation dans l industrie","https://www.aveclindustrie.fr/trouver-sa-voie/","2","5","45","50","","0.89","0.44","","34","OLDER_THAN_2_MONTHS","","","","","","","",""
"carriere et materiaux","https://www.aveclindustrie.fr/branche/carrieres-et-materiaux/","2","9","92","110","171","","0","1.8587","4","2026-06-10","","","","","","","carrieres et materiaux",""
"a l'industrie","https://www.aveclindustrie.fr/qui-sommes-nous/","2","18","480","480","","0.06","0.05","","5","OLDER_THAN_2_MONTHS","true","false","false","false","false","true","",""
"industries définition","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","7","63","880","1330","","","21.1111","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"lindustrierecrute","https://www.aveclindustrie.fr/actualites/lindustrie-recrute-fr/","2","18","450","5400","4","0.58","0.22","0.0089","14","2026-06-10","","","","","","","","l'industrie recrute"
"industrie céramique","https://www.aveclindustrie.fr/branche/industries-ceramiques/","2","4","30","30","3230","","0.1154","107.6667","14","OLDER_THAN_2_MONTHS","true","false","true","false","true","false","",""
"industrie fabrication","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","4","30","30","","","0.0204","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"métier de l industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","2","8","67","1000","935","0.78","0.14","13.9552","23","2026-06-18","true","false","false","false","false","false","",""
"nrj jeu","https://www.aveclindustrie.fr/actualites/reglement-jeu-concours-nrj-summer-tour/","2","24","880","880","2840","","","3.2273","39","2026-06-28","true","false","false","false","false","false","",""
"type d'usine","https://aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","3","20","20","","","0","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"métier polisseur","https://www.aveclindustrie.fr/metier/polisseur/","2","9","70","70","","","0.01","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"un industriel","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","9","70","70","","","0","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"m6 candidature","https://www.aveclindustrie.fr/actualites/casting-m6-fais-briller-ton-talent-dans-lindustrie/","2","7","50","50","","","0","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"produit industriel exemple","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","6","40","40","","","0.0066","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"métiers industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","2","5","32","320","11800","0.83","0.06","368.75","25","2026-06-07","true","false","false","false","false","false","",""
"métier industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","2","5","32","320","1850","0.83","0.06","57.8125","20","2026-06-01","true","false","false","false","false","false","",""
"métier de l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","9","67","1000","858","0.88","0.09","12.806","34","OLDER_THAN_2_MONTHS","","","","","","","",""
"metiers de l'industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","9","67","880","884","1.09","0.06","13.194","33","OLDER_THAN_2_MONTHS","","","","","","","",""
"salon de l emploi","https://www.aveclindustrie.fr/evenements-salons/","2","12","158","1600","15700","0.42","0.09","99.3671","21","2026-06-18","true","false","false","false","false","false","",""
"liste des industries","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","1","6","70","","","0.01","","13","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"industrie ceramique","https://www.aveclindustrie.fr/branche/industries-ceramiques/","2","5","30","30","","","0.0913","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie écologique","https://www.aveclindustrie.fr/decouvrez-lindustrie/","2","5","30","30","","","0.1029","","33","OLDER_THAN_2_MONTHS","","","","","","","",""
"lindustrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","2","21","590","590","40600","2.5","0.01","68.8136","18","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","","l'industrie"
"polisseur industriel","https://www.aveclindustrie.fr/metier/polisseur/","2","8","50","50","","3.59","0.98","","29","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"métier souffleur de verre","https://www.aveclindustrie.fr/metier/souffleur-de-verre/","2","8","50","50","","","0.01","","26","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"a l'avenir","https://www.aveclindustrie.fr/","2","22","590","590","49600","","0.0002","84.0678","46","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"les industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","2","10","10","","1.4016","0.001","","27","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"nombre d'industrie en france","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","2","4","20","20","","","0.0102","","30","OLDER_THAN_2_MONTHS","","","","","","","",""
"métiers industriels","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","1","6","32","590","1580","1.06","0.06","49.375","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"usine de chaux","https://www.aveclindustrie.fr/branche/industrie-de-la-chaux/","1","6","30","30","","","0.0519","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"conducteur d'installation","https://www.aveclindustrie.fr/metier/conducteur-installations-automatisees/","1","13","140","140","","1.1137","0.0108","","28","2026-06-07","true","false","false","false","false","false","",""
"la base industrie","https://www.aveclindustrie.fr/","1","13","140","140","","","0","","1","2026-05-31","true","true","false","false","false","false","",""
"industrie def","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","1","12","118","1300","490","2.71","0.01","4.1525","38","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"industrie fr","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","1","8","40","40","","0.9826","0.0371","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"usine metallurgie","https://www.aveclindustrie.fr/branche/metallurgie?actus=1","1","20","291","320","","1.22","0.02","","24","2026-05-31","true","false","false","false","true","false","",""
"horloger","https://www.aveclindustrie.fr/metier/horloger-reparateur/","1","36","2400","22200","10400","0.73","0.19","4.3333","38","2026-06-24","true","false","false","false","false","false","",""
"industrie métier","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-metiers-de-lindustrie/","1","7","32","590","","1.06","0.06","","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"salon siane toulouse","https://www.aveclindustrie.fr/actualites/retour-sur-le-salon-siane-a-toulouse/","1","11","90","90","","","0","","22","2026-07-28","true","false","false","false","false","false","",""
"emploi dans l industrie","https://aveclindustrie.fr/opco2i/travailler-dans-lindustrie","1","10","50","50","","0.76","0.27","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
