mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"actualité industrie","https://industrie-magazine.fr/","4","6","100","110","","","0","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"ids environnement","https://industrie-magazine.fr/ids-environnement-la-gestion-de-vos-dechets-simplifiee/","3","5","70","70","","","0","","17","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"manulie","https://annuaire.industrie-magazine.fr/entreprise/manuli-fluiconnecto-trappes","3","12","320","320","","0.1523","0.0064","","1","2026-06-11","true","false","false","false","false","false","",""
"spe saint dizier","https://annuaire.industrie-magazine.fr/entreprise/nuances-unikalo-spe-saint-dizier-bettancourt-la-ferree","3","8","110","110","","","0.04","","31","2026-06-10","true","false","false","false","false","false","",""
"new world wind","https://industrie-magazine.fr/wind-tree-lenergie-eolienne-au-coeur-des-villes/","3","8","110","110","","","0","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"actualité robotique","https://industrie-magazine.fr/category/robotique/","3","8","110","110","","0.51","0.38","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"in magazine","https://industrie-magazine.fr/","3","10","140","140","8920000","","0","63714.2857","15","2026-07-22","true","false","false","false","false","true","",""
"revue industrie","https://industrie-magazine.fr/","3","3","30","30","","","0.5325","","9","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"innovation et industrie","https://industrie-magazine.fr/","3","9","110","110","","2.27","0.17","","19","2026-06-09","true","false","false","false","false","false","",""
"k2 process","https://industrie-magazine.fr/k2-process-lagilite-francaise-au-coeur-de-linde-ustrie-globale/","3","4","40","40","","","0.0032","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"magazine industries","https://industrie-magazine.fr/","2","1","10","10","","","0","","9","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"magazine innovation et industrie","https://industrie-magazine.fr/","2","1","10","10","","","0.4857","","5","OLDER_THAN_2_MONTHS","","","","","","","",""
"industriemagazine","https://industrie-magazine.fr/","2","1","10","10","","","0.0111","","7","OLDER_THAN_2_MONTHS","","","","","","","",""
"safran aerotechnics","https://annuaire.industrie-magazine.fr/entreprise/safran-chateaufort","2","11","210","210","","","0","","50","2026-06-07","true","false","false","false","true","false","",""
"magazine innovant","https://industrie-magazine.fr/","2","7","70","70","","2.25","0.68","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"ab recyclage","https://annuaire.industrie-magazine.fr/entreprise/ab-recyclage-mazaugues","2","10","110","110","","2.33","0.02","","62","2026-06-08","true","false","false","false","false","false","",""
"innovation industry","https://industrie-magazine.fr/","2","5","40","40","","","0.115","","17","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"ou trouver magazine","https://industrie-magazine.fr/trouver-votre-magazine-pres-de-chez-vous/","2","5","40","40","","","0.78","","16","OLDER_THAN_2_MONTHS","","","","","","","",""
"themis technologies","https://industrie-magazine.fr/themis-technologies-du-sur-mesure-pour-une-production-unique/","2","10","90","90","","","0","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie et technologie magazine","https://industrie-magazine.fr/","2","8","64","70","","","0.05","","11","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"innovation magazine","https://industrie-magazine.fr/","2","3","20","20","","0.78","0.1","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"hydro 21","https://industrie-magazine.fr/hydro-21-la-force-de-leau-notre-avenir/","2","9","70","70","","","0","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie mag","https://industrie-magazine.fr/category/industrie-magazine/","2","12","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"bobino plastique","https://industrie-magazine.fr/bobino-plastique-40-ans-dinnovation-et-dexcellence-industrielle-a-saint-pal-de-mons/","2","15","260","260","","","0","","22","2026-06-14","true","false","false","false","false","false","",""
"h2s","https://industrie-magazine.fr/h2s-hydrogene-sulfure-dangers-traitement-industrie-assainissement/","2","40","3800","6600","600000","0.17","0","157.8947","13","2026-07-04","true","false","false","false","false","false","",""
"metal store","https://annuaire.industrie-magazine.fr/entreprise/metal-stores-sarl-gleize","2","13","170","170","","5.32","0.09","","16","2026-06-12","true","false","false","false","false","false","",""
"tous les moteurs","https://annuaire.industrie-magazine.fr/entreprise/tous-les-moteurs-champigny-sur-marne","2","13","170","170","","","0.04","","1","2026-06-11","true","false","false","false","false","false","",""
"magazine sur l'innovation","https://industrie-magazine.fr/","2","2","10","10","","","1","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"nautipark","https://annuaire.industrie-magazine.fr/entreprise/nauti-park-st-brevin-les-pins","2","19","320","320","611","","","1.9094","13","2026-06-08","true","false","false","false","true","false","",""
"safran montreuil","https://annuaire.industrie-magazine.fr/entreprise/safran-electrical-power-niort","2","19","320","320","","","0","","38","2026-06-08","true","false","false","false","false","false","",""
"new wind","https://industrie-magazine.fr/wind-tree-lenergie-eolienne-au-coeur-des-villes/","2","15","210","210","","","0.01","","1","2026-06-08","true","false","false","false","false","false","",""
"acm chaudronnerie","https://annuaire.industrie-magazine.fr/entreprise/acm-atelier-chaudronnerie-montplaisir-st-priest","1","11","110","110","","1.08","0.01","","1","2026-06-10","true","false","false","false","false","false","",""
"montesson mairie","https://annuaire.industrie-magazine.fr/entreprise/mairie-montesson","1","16","210","210","","","0","","35","2026-06-09","true","false","false","false","true","false","",""
"industrie mag","https://industrie-magazine.fr/boutique/","1","15","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"hydro21","https://industrie-magazine.fr/hydro-21-la-force-de-leau-notre-avenir/","1","10","50","50","","","0","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"compliance advisory","https://industrie-magazine.fr/ag-compliance-advisory-votre-partenaire-strategique-en-matiere-dethique-et-de-conformite/","1","5","20","20","","","0.05","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"firmus france","https://industrie-magazine.fr/%F0%9F%92%A7-firmus-france-leau-maitrisee-la-planete-respectee/","1","7","30","30","","","0","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"presse spécialisée innovation","https://industrie-magazine.fr/","1","3","10","10","","","0.1071","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"logistique mag","https://industrie-magazine.fr/category/logististique/","1","15","140","140","","1.67","0.16","","7","2026-06-11","true","false","true","false","false","true","",""
"entreprises industrielles françaises","https://annuaire.industrie-magazine.fr/","1","15","140","140","","1.68","0.02","","22","2026-06-09","true","false","false","false","false","false","",""
"industrie et technologies","https://industrie-magazine.fr/","1","15","140","140","7470","","0.01","53.3571","18","2026-06-01","true","false","false","false","false","false","",""
"biopolymère","https://industrie-magazine.fr/plasturgie-biopolymeres-que-dit-l-actualite-industrielle-et-reglementaire/","1","23","390","390","3120","1.92","0.01","8","28","2026-05-30","true","false","false","false","false","false","",""
"fournials saint sulpice","https://annuaire.industrie-magazine.fr/entreprise/fournials-motoculture-lescure-d-albigeois","1","14","110","110","","","0","","30","2026-06-09","true","false","false","false","false","false","",""
"newwind","https://industrie-magazine.fr/wind-tree-lenergie-eolienne-au-coeur-des-villes/","1","18","170","170","","","0.01","","24","2026-06-09","","","","","","","",""
"industrie mag","https://industrie-magazine.fr/global-industrie/","1","18","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"laroche industrie","https://annuaire.industrie-magazine.fr/entreprise/etablissement-laroche-paris","1","22","320","320","","","0","","24","2026-06-08","true","false","false","false","false","false","",""
"industrie mag","https://industrie-magazine.fr/category/news/","1","19","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"soldis alfortville","https://annuaire.industrie-magazine.fr/entreprise/experts-emballages-merignac","1","28","390","390","31","1.69","0.01","0.0795","20","2026-06-10","true","false","false","false","false","false","",""
"industrie mag","https://industrie-magazine.fr/category/environnement-energie/","1","20","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"mag-industrie","https://industrie-magazine.fr/","1","9","27","30","","","0.25","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"fip plasturgie","https://industrie-magazine.fr/fip-2026-la-plasturgie-francaise-se-donne-rendez-vous-a-lyon/","1","19","140","140","","","0","","5","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"magazine impression 3d","https://industrie-magazine.fr/category/impression-3d/","1","13","70","70","","1.48","0.35","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"magazine industrie et technologies","https://industrie-magazine.fr/","1","8","20","20","","1.0383","0.0879","","16","OLDER_THAN_2_MONTHS","","","","","","","",""
"le jeu c'est serieux","https://industrie-magazine.fr/prismatik-jouez-votre-role/","1","19","127","140","10","","","0.0787","14","2026-06-09","true","false","false","false","false","false","",""
"locawatt","https://annuaire.industrie-magazine.fr/entreprise/locawatt-sete","1","29","320","320","305","1.55","0.07","0.9531","1","2026-06-14","true","false","false","false","false","false","",""
"robotique futur","https://industrie-magazine.fr/la-robotique-moteur-de-lindustrie-du-futur/","1","21","210","210","","","0.32","","27","2026-06-12","true","false","false","false","false","false","",""
"magazine technologie et innovation","https://industrie-magazine.fr/","1","11","40","40","","0.93","0.92","","7","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie mag","https://industrie-magazine.fr/category/expert-energetique/","1","21","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"pena merignac","https://annuaire.industrie-magazine.fr/entreprise/pena-metaux-sa-merignac","1","25","210","210","","","0","","1","2026-06-10","true","false","false","false","false","false","",""
"lespiaucq","https://annuaire.industrie-magazine.fr/entreprise/lespiaucq-bois-et-habitat-angresse","1","30","260","260","","","","","1","2026-06-08","true","false","false","false","true","false","",""
"industrie mag","https://industrie-magazine.fr/notre-agence/","1","22","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"industrie mag","https://industrie-magazine.fr/mon-compte/","1","23","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"transports magazine","https://industrie-magazine.fr/category/transports/","1","14","50","50","","","0.03","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"innovation industrie","https://industrie-magazine.fr/","1","11","30","30","","2.6","0.17","","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"revue industrielle","https://industrie-magazine.fr/","1","11","30","30","","","0.2078","","11","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie mag","https://industrie-magazine.fr/sitemap/","1","24","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"cowigo","https://industrie-magazine.fr/cowigo-linfogerance-de-proximite-reactive-et-sur-mesure/","1","20","90","90","","","","","16","OLDER_THAN_2_MONTHS","","","","","","","",""
"actualités industrie","https://industrie-magazine.fr/","1","7","10","110","","","0","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"mag industrie","https://industrie-magazine.fr/","1","4","5","30","","","0.25","","8","OLDER_THAN_2_MONTHS","","","","","","","",""
"transport magazine","https://industrie-magazine.fr/category/transports/","1","18","70","70","","0.07","0.035","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"groupe dubois","https://annuaire.industrie-magazine.fr/entreprise/menuiserie-dubois-groupe-mandelieu-la-napoule","1","26","170","170","","","0","","10","2026-06-09","false","false","false","false","true","false","",""
"h2s gaz","https://industrie-magazine.fr/h2s-hydrogene-sulfure-dangers-traitement-industrie-assainissement/","1","26","170","170","","","0.04","","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"magazine imprimante 3d","https://industrie-magazine.fr/category/impression-3d/","1","12","30","30","","","1","","5","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"magazine robotique","https://industrie-magazine.fr/category/robotique/","1","16","50","50","","0.0852","0.7078","","7","OLDER_THAN_2_MONTHS","","","","","","","",""
"plateforme de mise en relation b2b","https://industrie-magazine.fr/biznessmatch-la-plateforme-b2b-qui-connecte-industriels-et-prestataires-%F0%9F%9A%80/","1","20","70","70","","23.76","0.37","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"bureau d'étude guadeloupe","https://industrie-magazine.fr/cs-design-un-bureau-detudes-expert-en-economie-de-la-construction-en-guadeloupe/","1","12","27","30","","","0","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"do it platinium","https://industrie-magazine.fr/do-it-platinium-le-createur-de-valeur-industriel/","1","30","170","170","","","0.07","","18","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"magazine environnement","https://industrie-magazine.fr/category/environnement-energie/","1","38","600","720","","1.11","0.16","","22","2026-06-26","true","false","true","false","false","false","",""
"magazine industriel","https://industrie-magazine.fr/boutique/","1","13","30","30","","","0.5","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"global innovation magazine","https://industrie-magazine.fr/","1","9","10","10","","","0","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"magazine industrie et technologies","https://industrie-magazine.fr/category/robotique/","1","11","20","20","","1.0383","0.0879","","16","OLDER_THAN_2_MONTHS","","","","","","","",""
"mdb multimedia","https://industrie-magazine.fr/cgv/","1","16","40","40","","","0.01","","11","2026-07-25","true","false","false","false","false","false","",""
"nord chauffage","https://annuaire.industrie-magazine.fr/entreprise/nord-chauffage-services-lomme","1","30","140","140","","3.09","0.05","","9","2026-06-09","false","false","false","false","true","false","",""
"sam decazeville","https://industrie-magazine.fr/renaissance-industrielle-deux-nouvelles-usines-a-decazeville/","1","44","880","880","265","","","0.3011","45","2026-06-30","true","false","false","false","false","false","",""
"magazine industrie et technologie","https://industrie-magazine.fr/","1","8","6","70","","1.0383","0.05","","15","2026-07-21","true","false","false","false","false","false","",""
"magazines transport","https://industrie-magazine.fr/category/transports/","1","22","70","70","","","0.02","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"global industriel","https://industrie-magazine.fr/global-industrie-2026-le-grand-rendez-vous-industriel-de-lile-de-france/","1","21","65","5400","","3.19","0.01","","35","2026-07-04","true","false","false","false","false","false","global industrial",""
"gaz h2s risques","https://industrie-magazine.fr/h2s-hydrogene-sulfure-dangers-traitement-industrie-assainissement/","1","20","40","40","","2.926","0.0451","","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"magazine 3d","https://industrie-magazine.fr/category/impression-3d/","1","25","70","70","","","0.0468","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"solution it magazine","https://industrie-magazine.fr/","1","11","10","10","","","0.1429","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"hydrogène sulfuré","https://industrie-magazine.fr/h2s-hydrogene-sulfure-dangers-traitement-industrie-assainissement/","1","49","720","720","3310","0.46","0.03","4.5972","23","2026-07-09","true","false","false","false","false","false","",""
"salon eurosatory","https://industrie-magazine.fr/eurosatory-2026-le-salon-mondial-de-la-defense-sinstalle-en-ile-de-france/","1","49","700","590","117","1.2","0","0.1671","26","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"inov industrie","https://annuaire.industrie-magazine.fr/entreprise/inov-parquets-marles-en-brie","1","29","70","70","","","0.02","","1","2026-06-09","","","","","","","",""
"ids industrie","https://industrie-magazine.fr/ids-environnement-la-gestion-de-vos-dechets-simplifiee/","1","16","20","20","","3.4965","0.0214","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nombre d'hydrolienne en france","https://industrie-magazine.fr/normandie-hydroliennes-nh-lacteur-cle-du-developpement-des-energies-marines-renouvelables-en-france/","1","16","20","20","","","0","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"h2s entreprise","https://industrie-magazine.fr/h2s-hydrogene-sulfure-dangers-traitement-industrie-assainissement/","1","23","50","50","","","0","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"esthete agency","https://industrie-magazine.fr/interview-avec-francois-savard-fondateur-dend-agency/","1","34","210","210","","","0","","1","2026-06-09","true","false","false","false","false","true","",""
"la place des robots dans l'industrie","https://industrie-magazine.fr/la-robotique-moteur-de-lindustrie-du-futur/","1","12","10","10","","7.6909","0.2095","","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"robot futur","https://industrie-magazine.fr/robotique-first-france-generation-robot-generation-futur/","1","36","210","210","2660","","0.36","12.6667","29","2026-06-18","true","false","false","false","false","false","",""
"odeur de soufre danger","https://industrie-magazine.fr/h2s-hydrogene-sulfure-dangers-traitement-industrie-assainissement/","1","32","170","170","","","0.01","","23","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"actualité aéronautique","https://industrie-magazine.fr/category/aeronautique/","1","34","173","1900","9610","1.31","0.01","55.5491","38","2026-06-04","true","false","false","false","false","false","",""
"magazine intelligence artificielle","https://industrie-magazine.fr/category/intelligence-artificielle/","1","28","50","50","","0.47","1","","13","OLDER_THAN_2_MONTHS","","","","","","","",""
"skytech slp","https://industrie-magazine.fr/skytech-vos-idees-notre-technologie-le-ciel-la-limite/","1","29","50","50","","","0","","13","OLDER_THAN_2_MONTHS","false","false","true","false","true","false","",""
"h2v industry","https://industrie-magazine.fr/hydrogene-vert/","1","34","140","140","208","","0.02","1.4857","18","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"ucav drone","https://industrie-magazine.fr/drones-de-combat-la-course-mondiale-a-l-autonomie-change-de-rythme/","1","22","30","30","730","1.195","0.04","24.3333","39","2026-07-25","true","false","false","false","false","false","",""
"a t industrie","https://annuaire.industrie-magazine.fr/entreprise/societe-a-t-3-e-st-maur-des-fosses","1","39","170","170","","","0.02","","1","2026-06-09","true","false","false","false","false","false","",""
"salon de lindustrie","https://industrie-magazine.fr/global-industrie-2026-le-grand-rendez-vous-industriel-de-lile-de-france/","1","31","110","110","","2.3283","0.0122","","31","2026-05-30","true","false","false","false","false","false","","salon de l'industrie"
"hydrolienne japon","https://industrie-magazine.fr/normandie-hydroliennes-nh-lacteur-cle-du-developpement-des-energies-marines-renouvelables-en-france/","1","31","110","110","","","0.62","","23","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"gelas construction","https://annuaire.industrie-magazine.fr/entreprise/gelas-dore-outillage-sarl-villeurbanne","1","32","110","110","","","0.01","","20","2026-06-08","true","false","false","false","false","false","",""
"robot actualité","https://industrie-magazine.fr/category/robotique/","1","32","100","110","","","0.06","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"a2m industrie","https://annuaire.industrie-magazine.fr/entreprise/a2m-pack-moussy-le-neuf","1","40","140","140","","","0","","1","2026-06-08","true","false","false","false","false","false","",""
"optical center amberieu","https://annuaire.industrie-magazine.fr/entreprise/societe-d-optique-hdh-lambersart","1","43","260","260","","1.44","0.05","","34","2026-06-09","true","false","false","false","true","false","",""
"presse industrie","https://industrie-magazine.fr/","1","27","30","30","","","0.3056","","7","OLDER_THAN_2_MONTHS","","","","","","","",""
"magazines professionnels","https://industrie-magazine.fr/","1","31","90","90","","2.06","1","","26","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"magazine innovation et industrie","https://industrie-magazine.fr/category/a-la-une/","1","17","10","10","","","0.4857","","5","OLDER_THAN_2_MONTHS","","","","","","","",""
"riposte magazine","https://industrie-magazine.fr/%F0%9F%9B%A1%EF%B8%8F-edialux-france-la-riposte-pro-contre-les-nuisibles-%F0%9F%90%9C%F0%9F%A6%9F%F0%9F%90%80/","1","29","30","30","","","0.0095","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"drones combat","https://industrie-magazine.fr/drones-de-combat-la-course-mondiale-a-l-autonomie-change-de-rythme/","1","30","30","30","15000","","0.07","500","17","2026-06-28","true","false","false","false","false","false","",""
"entreprise poisson","https://annuaire.industrie-magazine.fr/entreprise/poisson-patrick-romans-sur-isere","1","38","110","110","","","0","","1","2026-06-08","false","false","false","false","true","false","",""
"mag-industrie","https://industrie-magazine.fr/nam-dignissim-massa-in-augue-commodo-nec-euismod-nunc-vestibulum/","1","28","27","30","","","0.25","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"double pages","https://industrie-magazine.fr/produit/double-page-a4-print-digitale/","1","51","480","480","32500","","0","67.7083","32","2026-06-18","true","false","false","false","false","false","",""
"trouver un magazine","https://industrie-magazine.fr/trouver-votre-magazine-pres-de-chez-vous/","1","24","20","20","","","0.0504","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"montpellier industrie","https://annuaire.industrie-magazine.fr/entreprise/i-n-s-e-r-m-montpellier","1","45","210","210","","0.09","0.01","","26","2026-06-08","true","false","false","false","true","false","",""
"plateforme b2b france","https://industrie-magazine.fr/biznessmatch-la-plateforme-b2b-qui-connecte-industriels-et-prestataires-%F0%9F%9A%80/","1","32","70","70","230","11.83","0.55","3.2857","1","2026-06-18","true","false","false","false","false","false","",""
"réindustrialisation de la france","https://industrie-magazine.fr/relocalisation-made-in-france/","1","48","210","210","","","0.02","","15","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"boutique industrielle","https://industrie-magazine.fr/boutique/","1","29","20","20","","0.31","1","","1","OLDER_THAN_2_MONTHS","true","false","true","true","false","false","",""
"industrie des transports","https://industrie-magazine.fr/category/transports/","1","29","20","20","","","0.0095","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"ginger entreprise","https://annuaire.industrie-magazine.fr/entreprise/ginger-cebtp-merignac","1","37","70","70","","","0.01","","13","2026-06-08","true","false","false","false","true","true","",""
"innovations industrielles","https://industrie-magazine.fr/category/innovations-majeures/","1","46","170","170","","4.79","0.09","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"information entreprise magazine","https://industrie-magazine.fr/notre-agence/","1","47","155","170","","0.38","0.04","","19","2026-06-09","false","false","true","false","false","false","",""
"groupe durieu","https://industrie-magazine.fr/category/ferroviaire/","1","40","70","70","","","0.08","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"information entreprises magazine","https://industrie-magazine.fr/","1","45","140","140","","1.51","0.24","","19","2026-06-06","false","false","true","false","false","false","",""
"plasturgie lyon","https://industrie-magazine.fr/fip-2026-la-plasturgie-francaise-se-donne-rendez-vous-a-lyon/","1","33","50","50","","1.71","0.29","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"coda magazine","https://industrie-magazine.fr/coda-systemes-mesurer-optimiser-innover/","1","33","50","50","","","0.02","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"sortie magazines aujourd'hui","https://industrie-magazine.fr/","1","41","110","110","","3.05","0.6","","23","2026-06-11","true","false","true","false","false","false","",""
"magazines high-tech","https://industrie-magazine.fr/","1","22","10","10","","","0.14","","1","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"convergence it ot","https://industrie-magazine.fr/it-ot-convergence-reussir-l-integration-sans-casser-la-production/","1","37","50","50","","1.26","0.06","","20","2026-06-03","true","false","false","false","false","false","",""
